catalog	id	relationship	url	title	editor_status	proposal_stage	published_status	published_date	published_url	standing	organization	browser_target	series	repository	tests	tags	review_state	source	row_sha256
browser-specs	upgrade-insecure-requests	umbrella	https://www.w3.org/TR/upgrade-insecure-requests/	Upgrade Insecure Requests	Editor's Draft	NOT_APPLICABLE	Candidate Recommendation Snapshot	UNKNOWN	https://www.w3.org/TR/upgrade-insecure-requests/	good	W3C	yes	upgrade-insecure-requests	https://github.com/w3c/webappsec-upgrade-insecure-requests	upgrade-insecure-requests	security-privacy	CATALOG_INGESTED	index.json	0e341d979966486cad39a29842aeed1bcf6ab5842cf72e8e760cedb6f8cfde69
browser-specs	user-timing	umbrella	https://www.w3.org/TR/user-timing/	User Timing	Editor's Draft	NOT_APPLICABLE	Candidate Recommendation Draft	UNKNOWN	https://www.w3.org/TR/user-timing/	good	W3C	yes	user-timing	https://github.com/w3c/user-timing	user-timing	performance-observability	CATALOG_INGESTED	index.json	ef8a8542dc235773d0ccc74b5e2e14fd7a1cf46399692d1d13160e7ba72f5971
browser-specs	vc-barcodes-1.0	umbrella	https://www.w3.org/TR/vc-barcodes-1.0/	Verifiable Credential Barcodes v1.0	Editor's Draft	NOT_APPLICABLE	Working Draft	UNKNOWN	https://www.w3.org/TR/vc-barcodes-1.0/	good	W3C	no	vc-barcodes	https://github.com/w3c/vc-barcodes		security-privacy	CATALOG_INGESTED	index.json	dd4825a59b9fc2206b94d25c769863d14a0d59d17fb90a22e7d7cef1ad13f2eb
browser-specs	vc-bitstring-status-list	umbrella	https://www.w3.org/TR/vc-bitstring-status-list/	Bitstring Status List v1.0	Editor's Draft	NOT_APPLICABLE	Recommendation	UNKNOWN	https://www.w3.org/TR/vc-bitstring-status-list/	good	W3C	no	vc-bitstring-status-list	https://github.com/w3c/vc-bitstring-status-list			CATALOG_INGESTED	index.json	1eec43adcabe16f07f9c63a21bca9bfb49a9ea70f2c36d44273e597533ca22b4
browser-specs	vc-confidence-method	umbrella	https://www.w3.org/TR/vc-confidence-method/	Verifiable Credential Confidence Methods v1.0	Editor's Draft	NOT_APPLICABLE	Working Draft	UNKNOWN	https://www.w3.org/TR/vc-confidence-method/	good	W3C	no	vc-confidence-method	https://github.com/w3c/vc-confidence-method		security-privacy	CATALOG_INGESTED	index.json	9db36e17605ac9e88b37da532a77ac2fdc44d83f93e5e7c249f6a9776884acb7
browser-specs	vc-data-integrity	umbrella	https://www.w3.org/TR/vc-data-integrity/	Verifiable Credential Data Integrity 1.0	Editor's Draft	NOT_APPLICABLE	Recommendation	UNKNOWN	https://www.w3.org/TR/vc-data-integrity/	good	W3C	no	vc-data-integrity			security-privacy	CATALOG_INGESTED	index.json	737fb1c9c37d6287569f0d22491870a885be438f4cc36e64f58b313c3df70fa5
browser-specs	vc-data-integrity-1.1	umbrella	https://www.w3.org/TR/vc-data-integrity-1.1/	Verifiable Credential Data Integrity 1.1	Editor's Draft	NOT_APPLICABLE	First Public Working Draft	UNKNOWN	https://www.w3.org/TR/vc-data-integrity-1.1/	good	W3C	no	vc-data-integrity	https://github.com/w3c/vc-data-integrity		security-privacy	CATALOG_INGESTED	index.json	67900a0cb6903848ab2b08fb5b789a1f90915453beafd8c858493a58c4506bad
browser-specs	vc-data-model-2.0	umbrella	https://www.w3.org/TR/vc-data-model-2.0/	Verifiable Credentials Data Model v2.0	Editor's Draft	NOT_APPLICABLE	Recommendation	UNKNOWN	https://www.w3.org/TR/vc-data-model-2.0/	good	W3C	no	vc-data-model			agents-ml	CATALOG_INGESTED	index.json	1e98c6ff72894290c8bf8ab6e8368d11db17b5d4774f59db83d276e501a58211
browser-specs	vc-data-model-2.1	umbrella	https://www.w3.org/TR/vc-data-model-2.1/	Verifiable Credentials Data Model v2.1	Editor's Draft	NOT_APPLICABLE	Working Draft	UNKNOWN	https://www.w3.org/TR/vc-data-model-2.1/	good	W3C	no	vc-data-model	https://github.com/w3c/vc-data-model		agents-ml	CATALOG_INGESTED	index.json	dac032e35ec468ecc1fd2d24fb5d3342acf87d44c8fc8f86629f0ca3e87f4472
browser-specs	vc-di-bbs	umbrella	https://www.w3.org/TR/vc-di-bbs/	Data Integrity BBS Cryptosuites v1.0	Editor's Draft	NOT_APPLICABLE	Candidate Recommendation Draft	UNKNOWN	https://www.w3.org/TR/vc-di-bbs/	good	W3C	no	vc-di-bbs	https://github.com/w3c/vc-di-bbs			CATALOG_INGESTED	index.json	8160f7fa5d61cfb5c044992b6778d8dee6ef48e937064ed88fcf7b3a4a417620
